id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
13384408,,research,false,-25.7574018,28.319287719,215,false,Halcyon albiventris vociferans,Aves
13607998,false,research,false,-25.6752462215,28.0040921393,688,true,Halcyon albiventris,Aves
13687647,,research,false,-30.2996485459,30.7440139363,4,false,Halcyon albiventris albiventris,Aves
13876198,,research,false,-30.3016113534,30.7438163573,4,false,Halcyon albiventris albiventris,Aves
13908199,,research,false,-23.9534025733,31.2935624392,62500,false,Halcyon albiventris vociferans,Aves
13928667,,research,false,-30.3894255415,30.6807286487,8,false,Halcyon albiventris albiventris,Aves
14254397,,research,false,-17.8782480556,25.799345,,false,Halcyon albiventris orientalis,Aves
14341412,,research,false,-29.6017025107,30.3389543295,11,false,Halcyon albiventris albiventris,Aves
14345261,,research,false,-23.8415007331,30.1895678258,15,false,Halcyon albiventris vociferans,Aves
14387884,,research,false,-27.583,32.0007,100,false,Halcyon albiventris vociferans,Aves
14387906,,research,false,-27.583,32.0007,100,false,Halcyon albiventris vociferans,Aves
14420401,,research,false,-25.4981653702,31.4793714143,4,false,Halcyon albiventris vociferans,Aves
14438819,,research,false,-29.6092151306,30.3305960362,1,false,Halcyon albiventris albiventris,Aves
14470488,,research,false,-30.2929137846,30.7467730472,4,false,Halcyon albiventris albiventris,Aves
14686960,true,research,false,-26.0269766667,27.9686283333,3,false,Halcyon albiventris,Aves
14729806,false,research,false,-29.8245116667,30.9253116667,,false,Halcyon albiventris,Aves
14752088,true,research,false,-28.5348823516,29.7832743998,15,false,Halcyon albiventris,Aves
14880766,false,research,false,-15.719204,29.367973,5,false,Halcyon albiventris,Aves
14887103,false,research,false,-18.4964990417,35.8924174304,4,false,Halcyon albiventris,Aves
14945719,false,research,false,-29.9034233333,30.899245,3,false,Halcyon albiventris,Aves
14978482,,research,false,-25.2747,31.62163,5,false,Halcyon albiventris vociferans,Aves
15018803,false,research,false,-25.2380966667,31.5992283333,,false,Halcyon albiventris,Aves
15018815,,research,false,-25.1661733333,31.2685583333,,false,Halcyon albiventris albiventris,Aves
15066772,false,research,false,-17.8588359027,25.797135115,31,false,Halcyon albiventris,Aves
15201753,false,research,false,-28.1026461296,32.0412243765,649,false,Halcyon albiventris,Aves
15218704,,research,false,-30.2985374893,30.7474049648,4,false,Halcyon albiventris albiventris,Aves
