id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
17109,false,research,false,-14.9447848751,30.0146484375,,false,Caprimulgus vexillarius,Aves
19245,false,research,false,-24.99216,31.59049,,false,Tockus leucomelas,Aves
19247,,research,false,-28.3182844456,27.2200012207,,false,Centropus superciliosus burchellii,Aves
19248,false,research,false,-25.7603197547,29.970703125,,false,Coracias caudatus,Aves
19249,false,research,false,-24.983412866,31.5707588196,,false,Merops bullockoides,Aves
19651,,research,false,-25.6922755477,27.1636962891,,false,Halcyon albiventris,Aves
20062,,research,false,-25.7193432477,27.1872138977,,false,Halcyon chelicuti,Aves
20573,,research,false,-20.506783,22.593384,,false,Quelea quelea,Aves
20574,false,research,false,-19.522552,23.636955,,false,Turdus libonyana,Aves
20723,,research,false,-22.26625,21.37882,,false,Struthio camelus,Aves
20731,false,research,false,-22.292896,21.48838341,,false,Struthio camelus,Aves
20761,false,research,false,-22.41131,22.12648,,false,Struthio camelus,Aves
20992,false,research,false,-18.4003023,21.8715476,,false,Corythornis cristatus,Aves
20993,false,research,false,-18.4003023,21.8715476,,false,Threskiornis aethiopicus aethiopicus,Aves
20994,,research,false,-18.4003023,21.8715476,,false,Merops nubicoides,Aves
20995,,research,false,-18.4003023,21.8715476,,false,Haliaeetus vocifer,Aves
20996,,research,false,-18.4003023,21.8715476,,false,Hirundo smithii,Aves
20997,,research,false,-18.4254778258,21.8150244605,,true,Rynchops flavirostris,Aves
20998,,research,false,-18.4003023,21.8715476,,false,Ceryle rudis,Aves
20999,,research,false,-18.4003023,21.8715476,,false,Anhinga rufa,Aves
21002,,research,false,-18.4018497,21.8803882,,false,Ardea goliath,Aves
21003,,research,false,-18.4003023,21.8715476,,false,Merops bullockoides,Aves
21004,,research,false,-18.4018497,21.8803882,,false,Ardeola ralloides,Aves
21005,,research,false,-18.4003023,21.8715476,,false,Centropus cupreicaudus,Aves
21006,false,research,false,-18.4003023,21.8715476,,false,Megaceryle maxima,Aves
21007,,research,false,-18.4003023,21.8715476,,false,Egretta garzetta,Aves
21008,false,research,false,-18.4003023,21.8715476,,false,Vanellus armatus,Aves
21009,false,research,false,-18.4003023,21.8715476,,false,Actophilornis africanus,Aves
21010,false,research,false,-18.4003023,21.8715476,,false,Microcarbo africanus,Aves
22097,false,research,false,-19.5474273485,23.5296501387,,true,Necrosyrtes monachus,Aves
22115,false,research,false,-23.0007477785,14.4655609131,,false,Recurvirostra avosetta,Aves
22116,true,research,false,-23.0007477785,14.4655609131,,false,Sterna paradisaea,Aves
22117,,research,false,-23.0469149003,14.4579971952,,true,Charadrius pallidus,Aves
22119,,research,false,-22.8768078304,14.4462490082,,false,Phoenicopterus roseus,Aves
22120,false,research,false,-22.9767384971,14.4540092311,,true,Phalacrocorax capensis,Aves
22121,false,research,false,-22.9371945908,14.514842506,,true,Phoeniconaias minor,Aves
22122,false,research,false,-22.8869296279,14.4387817383,,false,Charadrius marginatus,Aves
22142,false,research,false,-22.6808166659,14.5213079453,,false,Phalacrocorax carbo,Aves
22144,false,research,false,-33.1401564,18.0237793,,false,Threskiornis aethiopicus aethiopicus,Aves
22146,,research,false,-33.1095441624,18.1889300026,,true,Haematopus moquini,Aves
22148,false,research,false,-33.1477922,18.0045104,,false,Chroicocephalus hartlaubii,Aves
22149,false,research,false,-33.2754820445,18.3219934629,,true,Anthropoides paradiseus,Aves
22150,,research,false,-33.1272011,18.0065917,,false,Lanius collaris collaris,Aves
22151,false,research,false,-33.1272011,18.0065917,,false,Pternistis capensis,Aves
22153,,research,false,-33.1272011,18.0065917,,false,Anas capensis,Aves
22163,false,research,false,-33.1355387,18.0021286,,false,Cercotrichas coryphoeus,Aves
22182,,research,false,-34.1941265445,18.4479546547,,false,Spheniscus demersus,Aves
23418,,research,false,-22.95764,18.49041,,false,Struthio camelus australis,Aves
24228,,research,false,-22.36810514,23.27482045,,false,Eurocephalus anguitimens,Aves
24229,,research,false,-22.244307659,22.7972450852,,false,Falco rupicoloides,Aves
24231,false,research,false,-22.0698558891,21.7519347108,,true,Gyps africanus,Aves
24235,false,research,false,-22.735383537,22.1822857389,,true,Trigonoceps occipitalis,Aves
24239,,research,false,-22.3424548401,21.8325805664,,false,Numida meleagris,Aves
24629,false,research,false,-22.2428693058,22.6876465255,,true,Torgos tracheliotos,Aves
24775,false,research,false,-22.8804602653,22.6758563519,,false,Sporopipes squamifrons,Aves
24779,,research,false,-22.8797139706,22.6777553558,,false,Falco rupicolus,Aves
24785,false,research,false,-22.2132129646,22.7041357632,,true,Torgos tracheliotos,Aves
24797,false,research,false,-22.2716234586,21.387462616,,false,Circaetus pectoralis,Aves
24803,false,research,false,-22.4059672,22.12398648,,false,Eupodotis ruficrista,Aves
24851,,research,false,-22.42,22.32,,false,Bubo africanus,Aves
24852,false,research,false,-22.2150022175,22.0270505465,,true,Terathopius ecaudatus,Aves
24853,false,research,false,-22.56,22.42,,false,Melierax canorus,Aves
24925,false,research,false,-21.47,21.82,,false,Bradornis mariquensis,Aves
24938,false,research,false,-22.4,22.1,,false,Melierax canorus,Aves
24939,,research,false,-33.9378058318,25.2137088776,,false,Bostrychia hagedash hagedash,Aves
25289,false,research,false,-22.42,21.93,,false,Struthio camelus,Aves
25295,false,research,false,-22.6,21.6,,false,Coracias naevius,Aves
25296,false,research,false,-22.501547128,22.0634942786,,true,Polemaetus bellicosus,Aves
25734,,research,false,-22.72265025,21.7385155,,false,Ardeotis kori,Aves
25739,,research,false,-22.7307487542,21.7048215866,,false,Struthio camelus australis,Aves
25744,,research,false,-22.51602,21.83806,,false,Tachybaptus ruficollis,Aves
25745,true,research,false,-22.5162835346,21.8381381035,,false,Tadorna cana,Aves
25753,,research,false,-21.738453405,21.6656827927,,false,Glaucidium perlatum,Aves
25755,,research,false,-20.3223736078,24.3190526962,,false,Pterocles burchelli,Aves
25758,,research,false,-20.3222528758,24.3190956116,,false,Streptopelia capicola,Aves
25802,false,research,false,-22.8867714806,14.4404983521,,false,Pelecanus onocrotalus,Aves
